,Kaufpreis,Zimmer,Wohnfläche ca.,Street,City,Anbieter,Wohnungslage,Bezug,Description,Wohnanlage,Baujahr:,Energy,Energy2,Lage,Price&Kosten,"('Baujahr:',)",Wohnfläche,Zustand:,"('Zustand:',)",3,Personenaufzug,"('Anbieter',)",2,,"('Personenaufzug',)",Mindestpreis,Stellplatz:,1
120,995.000 €,2, 63 m²,Straße nicht freigegeben,80469 München  (Ludwigsvorstadt-Isarvorstadt),Gewerblicher,WohnungslageErdgeschoss,EnergieausweistypVerbrauchsausweis,"Garten, Terrasse Einbauküche Böden: Terrakottaboden Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 1985 Personenaufzug ,1985,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1985Wesentliche EnergieträgerGASGültigkeit bis 27.03.2028 EffizienzklasseDEndenergieverbrauch 129,30 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGasHeizungsartZentralheizung,"RUHIG & SEHR ZENTRAL. Die Wohnung befindet sich in absolut zentraler Lage, in unmittelbarer Nähe zum Gärtnerplatz, einer der begehrtesten Wohnlagen Münchens. Durch die Ausrichtung der Wohnung zum Innenhof ist diese jedoch sehr ruhig. Wohnungen entlang der Isar und rund um den Gärtnerplatz sind eine Rarität...",,,,,,,,,,,,,,
121,389.000 €,1," 37,25 m²",Straße nicht freigegeben,80804 München  (Schwabing-West),Gewerblicher,Wohnungslage1. GeschossBezugab sofort,Bezugab sofort,Bad mit Dusche Balkon Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1961 Personenaufzug ,1961,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1961Wesentliche EnergieträgerFernwärmeEffizienzklasseDEndenergieverbrauch 118,00 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,"Die Immobilie liegt attraktiv in München-Schwabing. Hier genießen Sie oder Ihre Mieter eine ruhige, grüne Umgebung sowie eine ausgezeichnete Anbindung an das gesamte Stadtgebiet. Mit dem nur wenige Schritte entfernten Luitpoldpark liegt die Erholung direkt vor der Haustür, während zahlreiche Cafés und Restaurants zum...",,,,,,,,,,,,,,
122,279.000 €,1," 26,56 m²",Straße nicht freigegeben,81477 München  (Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,Wohnungslage4. GeschossBezugFrei zum Bezug,BezugFrei zum Bezug,Baujahr: 1965 Personenaufzug ,,,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeGültigkeit bis 05.03.2024 Endenergieverbrauch 117,00 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,"Der im Münchner Süden gelegene Stadtteil Parkstadt-Solln zählt zu den begehrten Wohnlagen in der Landeshauptstadt München. Die citynahe Stadtlage verfügt über ein hervorragendes Busnetz und ist mit zwei U-Bahnhöfen ""Baslerstr."" und ""Forstenrieder Allee"" zu erreichen. Zusätzlich ist mit dem Stadtbus der S-Bahnhof ""Solln""...",,,,,,,,,,,,,,
123,380.000 €,2, 57 m²,Straße nicht freigegeben,80935 München  (Feldmoching-Hasenbergl),Gewerblicher,Wohnungslage3. GeschossBezugsofort,Bezugsofort,Loggia barrierefrei ,Baujahr: 1969 Personenaufzug 1 Stellplatz ,1969,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeGültigkeit bis 17.12.2028 Endenergieverbrauch 152,80 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Dieser aufblühende Stadtteil Feldmoching/Hasenbergl besticht durch seine gute Infrastruktur und sein großes Angebot an Erholungs- und Freizeitmöglichkeiten. In unmittelbarer Nähe zum Objekt befinden sich die Einkaufsmöglichkeiten für den täglichen Bedarf, die Sie ganz bequem zu Fuß erreichen können. Grundschule, Kitas sowie...",,,,,,,,,,,,,,
124,764.500 €,2, 61 m²,Straße nicht freigegeben,80538 München  (Altstadt-Lehel),Gewerblicher,Wohnungslage4. GeschossBezugsofort,Bezugsofort,Bad mit Fenster Balkon Weitere Räume: Kelleranteil ,Baujahr: 1966 ,1966,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2006Wesentliche EnergieträgerGasGültigkeit 15.07.2018 bis 14.07.2028 EffizienzklasseGEndenergiebedarf 218,00 kWh/(m²·a)  ",EnergieträgerGasHeizungsartEtagenheizung,"Einmal Lehel - immer Lehel. Wer die Vorteile dieser Stadtlage einmal kennengelernt hat, möchte diese nicht mehr missen.In absoluter Bestlage, fast direkt am Englischen Garten, liegt diese 2-Zimmer-Wohnung. In zentralster Lage, aber trotzdem vollkommen ruhig eingebettet und perfekt abgewandt vom Trubel der...",,,,,,,,,,,,,,
125,645.000 €,3, 56 m²,Straße nicht freigegeben,80997 München  (Allach-Untermenzing),Gewerblicher,Wohnungslage5. GeschossBezugauf Anfrage,Bezugauf Anfrage,Balkon Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1970 ,1970,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1970EffizienzklasseDEndenergieverbrauch 109,00 kWh/(m²·a)  - Warmwasser enthalten ",HeizungsartZentralheizung,"Der Stadtteil Allach-Untermenzig wurde 1938 im Zuge der Eingemeindung nach München zusammengelegt. Der Stadtteil Allach im Nord-Westen von München hat die größte Gewerbefläche und namhafte Firmen dort Ihre Produktion und Entwicklungsstandorte. Hierzu zählen u.a. MAN, MTU, Deutsche Telekom und Krauss-Maffei. Allach weist einen...",,,,,,,,,,,,,,
126,730.000 €,4, 78 m²,Straße nicht freigegeben,80804 München  (Schwabing-West),Gewerblicher,WohnungslageErdgeschoss,,Weitere Räume: Kelleranteil ,Baujahr: 1957 ,1957,,,"Eigentumswohnung, Baujahr: ca. 1957, Aufteilungsplan: 1, Miteigentumsanteil: 8.65%, Erdgeschoß, Wohnfläche: 78m², Zimmer: 4, Küche, Bad, Keller, keine Innenbesichtigung",,,,,,,,,,,,,,
127,939.000 €,4," 111,13 m²",Osterangerstraße 13,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage1. Geschoss,,"Bad mit Fenster, Wanne und Dusche Garten, Loggia ",Zustand: Neubau Personenaufzug ,,,,"Hochwertig, modern und stilvoll: Die Ausstattung der 4-Zimmer Wohnung lässt keine Wünsche offen. Auf ca. 111,13 qm finden Sie hochwertige Eleganz, kombiniert mit solider Produktqualität bewährter Markenhersteller. Sämtliche Wohnräume beinhalten Fußbodenheizung und Landhausdielen in Eiche. Ein Badezimmer verfügt über eine...",,,,Neubau,,,,,,,,,,
128,1.140.000 €,4, 93 m²,Straße nicht freigegeben,81679 München  (Bogenhausen),Gewerblicher,Wohnungslage1. GeschossDerzeitige Nutzungvermietet,Derzeitige Nutzungvermietet,"Gäste-WC Balkon, Garten Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Abstellraum ",Baujahr: 1981 Personenaufzug 1 Stellplatz: Tiefgarage ,1981,,EnergieträgerGasHeizungsartZentralheizung,"Altbogenhausen gilt seit jeher als Münchens erste Adresse. Hier wohnten der Maler Franz von Stuck und der Bildhauer Adolf Hildebrand, aber auch der Unternehmer Rudolf Diesel und der Bankier Maffei in großbürgerlichen Villen. Unweit der Universitätssternwarte München ist das elegant wirkende Mehrfamilienhaus gelegen...",,,,,,,,,,,,,,
129,679.900 €,3, 66 m²,Straße nicht freigegeben,80637 München  (Neuhausen-Nymphenburg),Gewerblicher,Wohnungslage2. GeschossBezugvermietetDerzeitige Nutzungvermietet,Bezugvermietet,Balkon Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1997 Personenaufzug 1 Stellplatz: Tiefgarage ,1997,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeWesentliche EnergieträgerGASGültigkeit bis 04.09.2026 EffizienzklasseDEndenergieverbrauch 118,10 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Herzlich Willkommen in Neuhausen!Diese einmalige und sehr charmante Wohnimmobilie liegt in einem der attraktivsten und hochwertigsten Stadtteile Münchens, nahe dem Leonrod- und dem Rotkreuzplatz, dem quirligen Zentrum des Viertels. Neuhausen konnte sich bis heute seine gewachsene Struktur bewahren: Noch immer findet man...",,,,,,,,,,,,,,
130,495.000 €,2, 46 m²,Straße nicht freigegeben,81677 München  (Bogenhausen),Gewerblicher,WohnungslageErdgeschoss,EnergieausweistypVerbrauchsausweis,"Einbauküche, offene Küche Böden: Parkett Weitere Räume: Kelleranteil ",Baujahr: 1954 1 Stellplatz: Garage ,1954,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1954Wesentliche EnergieträgerGASGültigkeit bis 13.06.2028 EffizienzklasseBEndenergieverbrauch 66,80 kWh/(m²·a)  ",EnergieträgerGasHeizungsartEtagenheizung,"ENTFERNUNGEN:- U-Bahn (Linie U4 - Arabellapark-Theresienwiese), Haltestelle ""Böhmerwaldplatz"" - ca. 100 m entfernt (ca. 1 Gehminute)- Bus (Linie 59 - Ackermannbogen-Giesing Bf.), Haltestelle ""Böhmerwaldplatz"" - ca. 100 m entfernt (ca. 1 Gehminute)- S-Bahn (Linien S1, S2, S4, S6 und S8), Haltestelle...",,,,,,,,,,,,,,
131,649.900 €,1," 42,18 m²",Straße nicht freigegeben,80336 München / Isarvorstadt-Ludwigsvorstadt  (Ludwigsvorstadt-Isarvorstadt),Gewerblicher,Wohnungslage4. GeschossBezugab sofort,Bezugab sofort,Zustand: renoviert / saniert ,Baujahr: 1994 1 Stellplatz: Tiefgarage ,1994,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1994Wesentliche EnergieträgerFERNGültigkeit bis 15.05.2032 EffizienzklasseCEndenergieverbrauch 79,00 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Nur Schritte zum Sendlinger Tor, Viktualienmarkt, Kaufingerstraße und Glockenbach-Viertel. Alles geht - an diesem einmaligen Standort. Das Apartment liegt nicht irgendwo in der gefragten Isarmetropole, sondern direkt im Herzen Münchens. Ein Standort mit Potenzial: Im medizinischen Viertel entsteht in unserer direkten...",,,,,,,,,,,,,,
132,649.000 €,3," 88,05 m²",Straße nicht freigegeben,81476 München  (Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,Wohnungslage2. GeschossBezug01.05.2023,Bezug01.05.2023,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Kelleranteil, Abstellraum ",Baujahr: 1971 1 Stellplatz: Tiefgarage ,1971,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1971Wesentliche EnergieträgerFernwärme, Nahwärme, KWK erneuerbarGültigkeit 26.02.2018 bis 25.02.2028 EffizienzklasseDEndenergieverbrauch 114,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerFernwärmeHeizungsartZentralheizung,"Forstenried liegt zwischen Fürstenried im Westen und Obersendling und Solln im Osten und gehört zu den südlichen Stadtteilen Münchens. Prägend für das Bild Forstenrieds ist der historische Dorfkern. Bäuerliche Anwesen, teilweise noch aus dem 18. und 19. Jahrhundert, sind hier weit verbreitet. Der Alte Wirt ist eines der...",,,,,,,,,,,,,,
133,659.000 €,3, 90 m²,Straße nicht freigegeben,80997 München  (Allach-Untermenzing),Gewerblicher,WohnungslageErdgeschossBezugNach Vereinbarung,BezugNach Vereinbarung,Terrasse Weitere Räume: Kelleranteil ,Baujahr: 1970 1 Stellplatz: Tiefgarage ,1970,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1970Wesentliche EnergieträgerÖlGültigkeit 27.11.2017 bis 01.01.1970 EffizienzklasseDEndenergieverbrauch 122,00 kWh/(m²·a)  ",EnergieträgerÖlHeizungsartZentralheizung,"Untermenzing liegt am nordwestlichen Stadtrand von München. Hier trifft ein hoher Freizeit- und Erholungswert auf eine familienfreundliche, gewachsene Infrastruktur.Der Würmgürtel zeigt sich als naturbelassene Oase und der nahegelegene Lußsee, der zusammen mit dem Langwieder See und dem Birkensee als einer der...",,,,,,,,,,,,,,
134,1.249.000 €,3," 91,91 m²",Straße nicht freigegeben,81543 München  (Untergiesing-Harlaching),Gewerblicher,Wohnungslage1. GeschossBezug2022,Bezug2022,Zustand: Erstbezug Weitere Räume: Kelleranteil ,Baujahr: 2022 Personenaufzug 1 Stellplatz: Tiefgarage ,2022,,HeizungsartFußbodenheizung,"Living Isar ist ein neu errichtetes Wohnquartier direkt an den Isarauen, keine 400 Meter von der Isar entfernt. Bei der Planung und Gestaltung wurde sehr viel Wert auf Funktionalität und ein hohes Maß an Wohnfühlcharakter gelegt. Durch die Ausrichtung der Baukörper in Richtung Sonne entsteht ein erhöhter Lichteinfang...",,,,,,,,,,,,,,
135,1.195.000 €,4, 127 m²,Straße nicht freigegeben,81827 München  (Trudering-Riem),Gewerblicher,WohnungslageErdgeschossBezugnach Absprache,Bezugnach Absprache,"Balkon, Terrasse Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 2014 1 Stellplatz ,2014,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeWesentliche EnergieträgerHolzpelletsGültigkeit bis 07.04.2024 Endenergiebedarf 110,00 kWh/(m²·a)  ",EnergieträgerPellets,"Waldtrudering befindet sich am östlichen Rand des Stadtteils Trudering und zählt mit seinem reizvollen Gartenstadt-Charakter und gewachsenen Nachbarschaften zu den bevorzugten Wohnlagen im Münchner Osten. Große Grundstücke und üppige Gärten prägen diese citynahe, ruhige Wohngegend, die eine ideale familienfreundliche...",,,,,,,,,,,,,,
136,739.000 €,4, 79 m²,Straße nicht freigegeben,80992 München  (Moosach),,Wohnungslage3. GeschossBezugsofort,EnergieausweistypVerbrauchsausweis,Bad mit Fenster Balkon Zustand: renoviert / saniert Weitere Räume: Kelleranteil ,Baujahr: 1963 Personenaufzug ,1963,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2006Endenergieverbrauch 107,00 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Das Objekt befindet sich in belebter Wohnlage in München Moosach. Zu Fuß erreichen Sie verschiedene Restaurants, Bäckereien, Ärzte, zwei Cafés und ein Einkaufszentrum. Die S-Bahn, U-Bahn Haltestellen, sowie einige Busstationen befinden sich fußläufig. Es befinden sich auch Schulen sowie Kindergruppen in der Nähe. ",,,,,,,,,,,,,,
137,569.000 €,2," 60,10 m²",Osterangerstraße 13,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage2. Geschoss,,"Bad mit Fenster, Wanne und Dusche Balkon, Garten ",Zustand: Altbau (bis 1945) Personenaufzug ,,,,"Urban, modern und mit ländlichem Flair zugleich präsentiert sich Ihr neues Zuhause im Areal meinraum München West. Mit bester Anbindung zur Innenstadt, vielfältigen Einkaufsmöglichkeiten und einer guten Erreichbarkeit von Freizeit-Zielen und Arbeitsumfeld sowie dem Münchener Flughafen wohnen Sie unweit der Naherholungsgebiete...",,,,Altbau,,,,,,,,,,
138,695.000 €,3, 80 m²,Straße nicht freigegeben,80331 München  (Altstadt-Lehel),Gewerblicher,Wohnungslage5. Geschoss (Dachgeschoss)BezugsofortDerzeitige Nutzungfrei,Bezugsofort,"Bad mit Dusche, Gäste-WC Balkon Ausblick: Fernblick Einbauküche Böden: Fliesenboden, Parkett Fenster: Holzfenster Zustand: renoviert / saniert Weitere Räume: Kelleranteil, Wasch-Trockenraum ",Baujahr: 1978 Personenaufzug 1 Stellplatz: Tiefgarage ,1978,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1978Wesentliche EnergieträgerErdgasGültigkeit 07.05.2022 bis 06.05.2032 EffizienzklasseBEndenergiebedarf 58,20 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,,,,,,,,,,,,,,,
139,690.000 €,3, 76 m²,Straße nicht freigegeben,81241 München  (Pasing-Obermenzing),Gewerblicher,WohnungslageErdgeschossBezugnach Absprache,Bezugnach Absprache,"Bad mit Wanne Terrasse Einbauküche barrierefrei, rollstuhlgerecht Böden: Parkett Fenster: Kunststofffenster Zustand: gepflegt kontrollierte Be- und Entlüftungsanlage Weitere Räume: Kelleranteil ",Baujahr: 2013 Personenaufzug 1 Stellplatz: Tiefgarage ,2013,GebäudetypWohngebäude,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"PASING - DAS ""MINIATUR MÜNCHEN""In kaum einem anderen Stadtteil entsteht so viel neuer Wohnraum wie in Pasing. Die bereits sehr attraktive Gegend wird zunehmend ausgebaut. Hier profitierst du von jahrelanger durchdachter Stadtentwicklung und musst dich nicht zwischen Stadtleben und Natur entscheiden. Das...",,,,,,,,,,,,,,
140,,3, 73 m²,Straße nicht freigegeben,80686 München  (Laim),Gewerblicher,Wohnungslage4. GeschossBezugnach Absprache,Bezugnach Absprache,Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1968 2 Stellplätze ,1968,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1968Wesentliche EnergieträgerGasEffizienzklasseGEndenergieverbrauch 201,40 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,Die Wohnung befindet sich gut angebunden gelegen in München-Laim. Hier profitieren Ihre Mieter von einer hervorragend ausgebauten Infrastruktur und einer vorteilhaften Verkehrsanbindung. Gleichzeitig lädt der Park Viebigplatz in weniger Gehminuten Entfernung zu Spaziergängen und Sportaktivitäten im Freien ein.In einem...,,,,,,,,,,auf,,,,
141,1.730.000 €,"2,5", 108 m²,Straße nicht freigegeben,80802 München  (Schwabing-Freimann),Gewerblicher,WohnungslageDachgeschoss,EnergieausweistypBedarfsausweis,Bad mit Wanne und Dusche Terrasse Einbauküche voll klimatisiert Weitere Räume: Abstellraum Anschlüsse: Kabelanschluss ,Baujahr: 1975 Personenaufzug 1 Stellplatz: Tiefgarage ,1975,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1975Wesentliche EnergieträgerGasGültigkeit 23.11.2018 bis 22.11.2028 EffizienzklasseGEndenergiebedarf 217,00 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Der 12. Münchner Stadtbezirk zählt ca. 78.000 Einwohner. Er besteht aus der ehemaligen Stadt Schwabing, der ehemaligen Gemeinde Freimann sowie aus Fröttmaning (hier steht die berühmte Allianz-Arena). Das Verkehrsnetz ist mit U-Bahn und Bussen perfekt ausgebaut. Seit dem Jahr 2000 entstanden viele neue Wohnquartiere, wie die...",,,,,,,,,,,,,,
142,679.000 €,2, 69 m²,Straße nicht freigegeben,80802 München  (Schwabing-Freimann),Gewerblicher,Wohnungslage2. GeschossBezugsofort,Bezugsofort,"Balkon, Loggia ",Baujahr: 1955 Personenaufzug ,1955,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeGültigkeit bis 13.04.2031 Endenergiebedarf 133,30 kWh/(m²·a)  ",EnergieträgerÖlHeizungsartZentralheizung,"Der Stadtteil Schwabing (Altschwabing) ist weltweit der Inbegriff für Münchner Lebensart. Umgeben von prächtigen, ja geradezu königlich wirkenden Altbauten mit stilvollen, denkmalgeschützten Fassaden präsentiert sich dieser Stadtteil. Sowohl bei der Jugend als natürlich auch bei den alteingesessenen Münchnern ist Schwabing...",,,,,,,,,,,,,,
143,496.000 €,2," 65,45 m²",Straße nicht freigegeben,81375 München  (Hadern),Gewerblicher,Wohnungslage1. Geschoss,EnergieausweistypVerbrauchsausweis,Balkon Böden: Laminat Zustand: gepflegt Weitere Räume: Wasch-Trockenraum ,Baujahr: 1980 Personenaufzug 1 Stellplatz: Tiefgarage ,1980,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1980Wesentliche EnergieträgerGASGültigkeit 23.03.2018 bis 22.03.2028 EffizienzklasseDEndenergieverbrauch 107,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGasHeizungsartZentralheizung,"Die Lage um den Haderner Stern ist mit einer hervorragenden Infrastruktur ausgestattet. Einkaufen/Besorgungen: Alle Geschäfte des täglichen Bedarfs sowie alle Ärzte am Einkaufszentrum ""Haderner Stern"" sind zu Fuß erreichbar. Ein ALDI, Obst- und Gemüsehändler, Apotheke, EDEKA, Vinzenzmurr, Asiamarkt, Buchhandlung...",,,,,,,,,,,,,,
144,725.000 €,3," 75,02 m²",Osterangerstraße 13,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,WohnungslageErdgeschoss,,"Bad mit Fenster, Wanne und Dusche Garten, Terrasse ",Zustand: Altbau (bis 1945) Personenaufzug ,,,,"Moderne und hochwertige Eigentumswohnungen mit gemütlichem Flair und besonderer Ausstattung machen das Stadtquartier meinraum München West zu einer Oase für jedes Lebensalter. Finden Sie Ihr Traumzuhause als Paar, als junge Familie oder als Wohngemeinschaft im besten Alter.Für die Alltagsgestaltung und die Freizeitaktivitäten...",,,,Altbau,,,,,,,,,,
145,250.000 €,1, 38 m²,Straße nicht freigegeben,81673 München  (Berg am Laim),Gewerblicher,Wohnungslage3. GeschossBezug01.11.2022,Bezug01.11.2022,Bad mit Wanne Balkon Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1965 ,1965,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1965Wesentliche EnergieträgerÖlGültigkeit 07.11.2019 bis 06.11.2029 EffizienzklasseFEndenergieverbrauch 162,10 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerÖlHeizungsartZentralheizung,"Das Wohnhaus befindet sich in zentraler Lage von Berg am Laim. Die nächste U-Bahnstation ist nur 350 Meter entfernt. Die S-Bahn Station Berg am Laim erreichet man in 1,5 km.Das Stadtbild von Berg am Laim prägen hauptsächlich die zahlreichen Bauten, die vor allem nach dem zweiten Weltkrieg entstanden sind. Der dörfliche...",,,,,,,,,,,,,,
146,1.295.000 €,3," 89,40 m²",Straße nicht freigegeben,81245 München  (Pasing-Obermenzing),Gewerblicher,Wohnungslage2. GeschossBezugQ1 2024,BezugQ1 2024,"Bad mit Fenster, Wanne und Dusche Balkon offene Küche Böden: Parkett Zustand: Erstbezug Weitere Räume: Kelleranteil ",Baujahr: 2023 Personenaufzug 1 Stellplatz: Duplex ,2023,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2023Gültigkeit bis 05.09.2032 EffizienzklasseAEndenergiebedarf 34,50 kWh/(m²·a)  ","HeizungsartFußbodenheizung, Luft-/Wasser-Wärmepumpe","Obermenzing zählt zu den gefragtesten und niveauvollsten Wohnlagen Münchens mit einer außergewöhnlichen Vielfalt. Hier trifft ein hoher Freizeit- und Erholungswert auf eine familienfreundliche, gewachsene Infrastruktur. Wohnen in der Stadt, aber doch im Grünen. Traditionsreiche Gasthöfe und gefragte Lokalitäten, urige...",,,,,,,,,,,,,,
147,198.000 €,1," 21,50 m²",Straße nicht freigegeben,81673 München  (Berg am Laim),Gewerblicher,Wohnungslage2. GeschossDerzeitige Nutzungvermietet,Derzeitige Nutzungvermietet,Bad mit Wanne Einbauküche Böden: Fliesenboden Ausstattung: möbliert Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1973 Personenaufzug 1 Stellplatz: Duplex ,1973,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1973Wesentliche EnergieträgerErdgas schwerGültigkeit 30.01.2018 bis 29.01.2028 EffizienzklasseFEndenergieverbrauch 170,40 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,Berg am Laim: Unternehmenszentrum und beliebtes WohnviertelDer Stadtteil Berg am Laim sticht zunächst durch seine zahlreichen Wohnblockbebauungen hervor. In den letzten Jahren ist das Viertel durch die Errichtung vieler Neubauten und umfunktionierter Industriebauten stark im Kommen und zählt inzwischen zu einem sehr...,,,,,,,,,,,,,,
148,499.500 €,2," 61,08 m²",Straße nicht freigegeben,81927 München  (Bogenhausen),Gewerblicher,Wohnungslage2. GeschossBezugnach Absprache,Bezugnach Absprache,Bad mit Wanne Balkon Einbauküche Böden: Laminat Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1967 Personenaufzug 1 Stellplatz ,1967,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1967Wesentliche EnergieträgerFernwärmeEffizienzklasseCEndenergieverbrauch 84,98 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,"Die Immobilie befindet sich unweit des Stadtzentrums im gehobenen Münchner Viertel Bogenhausen. Die attraktive Lage nahe der Isar und dem beliebten Englischen Garten charakterisiert sich insbesondere durch die Kombination aus grüner Umgebung, kurzen Versorgungswegen und einer sehr guten Nahverkehrsanbindung. Von der Anlage...",,,,,,,,,,,,,,
149,649.500 €,"2,5", 76 m²,Straße nicht freigegeben,81735 München  (Ramersdorf-Perlach),Gewerblicher,Wohnungslage4. GeschossBezugnach Absprache,Bezugnach Absprache,"Balkon Einbauküche Böden: Fliesenboden, Parkett Zustand: renoviert / saniert Weitere Räume: Wasch-Trockenraum ",Baujahr: 1969 Personenaufzug 2 Stellplätze ,1969,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1969Wesentliche EnergieträgerFernwärmeGültigkeit seit 18.10.2018 EffizienzklasseBEndenergieverbrauch 72,00 kWh/(m²·a)  ",EnergieträgerFernwärme,"Sie wollen in der Stadt, aber trotzdem umgeben von Parks und im Grünen wohnen? Gerne doch! Die Wohnanlage liegt zwischen Hachinger Bach und dem Krautgarten Ramersdorf. Zum Ostpark sind es nur wenige Gehminuten. Im Krautgarten kann man gegen eine kleine jährliche Gebühr in der Stadt sein eigenes Obst und Gemüse anbauen...",,,,,,,,,,,,,,
150,750.000 €,3, 66 m²,Hansastr. 120,81373 München  (Sendling-Westpark),Gewerblicher,WohnungslageErdgeschossBezugsofort,Bezugsofort,"Bad mit Wanne, Bad/WC getrennt Garten, Loggia Einbauküche als Ferienimmobilie geeignet, WG-geeignet Böden: Fliesenboden, Parkett Fenster: Holzfenster, Kunststofffenster Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1960 Personenaufzug ,1960,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2003EffizienzklasseAEndenergiebedarf 15,00 kWh/(m²·a)  ",EnergieträgerÖlHeizungsartZentralheizung,,,,,,,,,,,,,,,
151,680.000 €,3," 80,20 m²",Straße nicht freigegeben,80331 München  (Altstadt-Lehel),Gewerblicher,Wohnungslage4. GeschossBezugvermietetDerzeitige Nutzungvermietet,Bezugvermietet,"Bad mit Fenster und Wanne Balkon, Gartenmitbenutzung Ausblick: Fernblick als Ferienimmobilie geeignet Böden: Laminat, Parkett Fenster: Kunststofffenster Weitere Räume: Kelleranteil, Abstellraum, Wasch-Trockenraum Anschlüsse: DSL-Anschluss Haustiere erlaubt ",Baujahr: 1973 Personenaufzug Serviceleistungen: Reinigungsservice ,1973,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2012Wesentliche EnergieträgerGasGültigkeit 20.03.2015 bis 20.03.2025 Endenergieverbrauch 65,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerGasHaustypKfW 40,"2 x 3 Zi. Wohnungen, beide ca. 80 qm. , vermietet, mittelfristig frei",,,,,,,,,,,,,,
