,street,description,wohnanlage,energy_2,lage,Hausprice,Room,Area,Post_Code,District,Offerer,Year,Status,Floor,Own
186,,Zustand: gepflegt ,Baujahr: 2013 Personenaufzug 1 Stellplatz: Garage ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Stellen Sie sich vor, Sie leben inmitten einer pulsierenden, modernen Metropole - und doch herrscht um Sie herum Stille. Genauso wurde das exklusive Townhouse inmitten von München City zwischen Marienplatz, Karlsplatz/Stachus, Viktualienmarkt und Frauenkirche konzipiert. Obwohl Sie nur wenige Minuten von den beliebtesten und...",2995000.0,3,124.0,80331,(Altstadt-Lehel),Gewerblicher,2013,,,
187,Bonner Str. xxx,,,,2-Zimmer-Wohnung mit 57 qm Wfl. im Erdgeschoss; Baujahr 1957 - dazu Kellerabteil,530000.0,2,57.0,80804,(Schwabing-West),Gewerblicher,,,Ground,
188,Osterangerstraße 13,"Bad mit Fenster, Wanne und Dusche Garten, Terrasse barrierefrei, rollstuhlgerecht ",Zustand: Neubau Personenaufzug ,,"Urban, modern und mit ländlichem Flair zugleich präsentiert sich Ihr neues Zuhause im Areal meinraum München West. Mit bester Anbindung zur Innenstadt, vielfältigen Einkaufsmöglichkeiten und einer guten Erreichbarkeit von Freizeit-Zielen und Arbeitsumfeld sowie dem Münchener Flughafen wohnen Sie unweit der Naherholungsgebiete...",859000.0,3,90.09,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,,New,Ground,
189,,Einbauküche Zustand: renoviert / saniert ,Baujahr: 1974 ,EnergieträgerGasHeizungsartZentralheizung,"Praktische und gewachsene Wohnlage von Milbertshofen, gute Infrastruktur und ideale öffentliche Verkehrsanbindung durch den Bus mit der Linie 178, durch die U-Bahn mit der Linie U3 und U8, alle Geschäfte des täglichen Bedarfs sowie vielseitige Restaurants sind schnell erreichbar, Kitas, Kindergärten und Schulen befinden sich...",535000.0,2,52.0,80809,(Milbertshofen-Am,Gewerblicher,1974,,4 Roof,
190,Osterangerstraße 13,"Bad mit Fenster, Wanne und Dusche Balkon, Garten ",Zustand: Neubau Personenaufzug ,,"Urban, modern und mit ländlichem Flair zugleich präsentiert sich Ihr neues Zuhause im Areal meinraum München West. Mit bester Anbindung zur Innenstadt, vielfältigen Einkaufsmöglichkeiten und einer guten Erreichbarkeit von Freizeit-Zielen und Arbeitsumfeld sowie dem Münchener Flughafen wohnen Sie unweit der Naherholungsgebiete...",945000.0,4,100.03,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,,New,3,
191,Kantstrasse 15,Bad mit Dusche Garten Einbauküche WG-geeignet Zustand: gepflegt Weitere Räume: Kelleranteil Haustiere erlaubt ,Baujahr: 1956 ,"EnergieträgerGasHeizungsartEtagenheizung, offener Kamin",,1100000.0,3,92.0,80809,(Milbertshofen-Am,Gewerblicher,1956,,2 Roof,Nach Vereinbarung
192,,Bad mit Fenster und Dusche Balkon Zustand: Erstbezug Weitere Räume: Kelleranteil ,Baujahr: 2023 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage ,,"München hat viele schöne Seiten, eine davon im Südosten: Der Stadtteil Ramersdorf-Perlach hat sich in den vergangen Jahren vielerorts gewandelt ist inzwischen zum gefragten Wohnstandort erklärt. Erneuerungen wie jene rund um den Hanns-Seidel-Platz zeigen die Dynamik und Moderne, die sich hier mit dem dörflichen Flair...",589300.0,2,46.93,81737,(Ramersdorf-Perlach),Gewerblicher,2023,,2,2023
193,,Bad mit Dusche Garten Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1973 Personenaufzug ,,"In Schwabing leben Sie kaum mehr als 20 Minuten von der Münchner Innenstadt entfernt und genießen eine sehr gepflegte Nachbarschaft. Nur wenige Gehminuten trennen Sie darüber hinaus vom Englischen Garten, weshalb dem morgendlichen Spaziergang durch die Parkanlage, einer Laufrunde am Wochenende oder einem romantischen Picknick...",429000.0,2,53.31,80805,(Schwabing-Freimann),Gewerblicher,1973,,4,Sofort
194,,"Bad mit Wanne Loggia Ausblick: Fernblick Einbauküche Böden: Laminat Weitere Räume: Kelleranteil, Wasch-Trockenraum ",Baujahr: 1972 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Als eines der ohnehin bereits wenigen, ikonischen Hochhäusern Münchens, liegt dieses Anwesen in Haidhausen nahezu ""allein auf weiter Flur"" und bietet einen einmaligen Ausblick über die Landeshauptstadt.Die Nähe zur Innenstadt, vor allen Dingen aber das gute Freizeitangebot - besonders das Kulturzentrum Gasteig und die...",158000.0,1,29.5,81669,(Au-Haidhausen),Gewerblicher,1972,,13,
195,,"Garten, Terrasse Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ",Baujahr: 2009 Personenaufzug ,EnergieträgerFernwärme,"Der Stadtteil Milbertshofen nördlich von Schwabing überzeugt durch seine lebenswerte Umgebung: Ideal zwischen den Freizeitparadiesen Olympiapark und Englischem Garten gelegen, verbinden sich hier Alltag und Freizeit auf ideale Weise. Dort finden sich umfangreiche Freizeitangebote und Sportmöglichkeiten. Zahlreiche...",1500000.0,4,146.0,80807,(Milbertshofen-Am,Gewerblicher,2009,,5,
196,,"Einbauküche Böden: Fliesenboden, Laminat Fenster: Kunststofffenster Zustand: gepflegt Anschlüsse: DSL-Anschluss, Satellitenanschluss ",Baujahr: 1972 1 Stellplatz ,EnergieträgerGasHeizungsartZentralheizung,"Der Stadtteil Riem gehört zu den begehrtesten Stadtteilen Münchens. Urbane Häuser, klassische Immobilien, aber auch moderne Wohnprojekte prägen das Stadtbild von Riem. Der Stadtteil bietet Grünflächen und eine hervorragende Infrastruktur und erfreut sich großer Beliebtheit bei Alt und Jung. Für den täglichen Bedarf stehen...",387000.0,2,53.0,81829,(Trudering-Riem),Gewerblicher,1972,,1,
197,,"Bad mit Dusche Terrasse Einbauküche Böden: Fliesenboden Fenster: Holzfenster Zustand: gepflegt Weitere Räume: Kelleranteil, Wasch-Trockenraum ",Baujahr: 1998 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,,395000.0,1,42.13,81547,(Untergiesing-Harlaching),Gewerblicher,1998,,3 Roof,Nach Vereinbarung
198,,Gäste-WC Balkon Ausstattung: neuwertig Weitere Räume: Kelleranteil ,Baujahr: 2006 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Schwabing steht für München wie kein anderer Stadtteil. Hier trifft Tradition auf Moderne, Action auf Relaxing, Kultur auf Business-Szene. Alles, was man an einer Großstadt zu schätzen weiß, liegt hier direkt um die Ecke: Restaurants, Bars, Boutiquen, Galerien, Kinos, Theater, Geschäfte für jeden Bedarf. Bus und Straßenbahn...",1220000.0,3,75.74,80804,(Schwabing-Freimann),Gewerblicher,2006,,1,Nach Vereinbarung
199,,"Bad mit Dusche, Gäste-WC barrierefrei, rollstuhlgerecht Böden: Parkett Zustand: Erstbezug ",Baujahr: 2014 Zustand: Neubau Personenaufzug ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Das Glockenbachviertel zählt zu den begehrtesten Wohnlagen Münchens.Im Herzen dieses Viertels entstand das Prestige Objekt ""The SEVEN"", das zugleich das höchste Haus der Innenstadt darstellt und für Luxus, Sicherheit und Einmaligkeit steht. Zu Fuß ist man in wenigen Minuten am weltberühmtenViktualienmarkt, hier...",2150000.0,3,86.0,80469,(Ludwigsvorstadt-Isarvorstadt),Gewerblicher,2014,,2,
200,,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Laminat Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Kelleranteil, Abstellraum ",Baujahr: 1965 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Feldmoching als 24. Stadtbezirk im Münchner Norden ist mit rund 62.000 Einwohnern von der Fläche her der zweitgrößte mit einer geringer Einwohnerdichte. Feldmoching ist auch heute noch stark landwirtschaftlich geprägt. Mit U- und S-Bahn ist das Stadtzentrum in gut 20 Minuten erreichbar, die nahe Autobahn ist ein zusätzliches...",425000.0,3,70.0,80995,(Feldmoching-Hasenbergl),Gewerblicher,1965,,14,
201,Ravensburger Ring 72,Balkon Einbauküche ,Baujahr: 1982 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,"Die Wohnung befindet sich in guter Lage in Aubing, somit inStadtnähe und dennoch im Grünen. In unmittelbarer Umgebungsind mehrere Einkaufsmöglichkeiten, Kindergärten, Schulen undArztpraxen. In wenigen Minuten, erreichen Sie die Bushaltestelle„Ravensburger Ring“, mit direktem Anschluss an die S-Bahnhaltestelle...",835000.0,4,103.18,81243,(Aubing-Lochhausen-Langwied),Gewerblicher,1982,,2,Sofort
202,Hufnagelstr. 11,"Bad mit Fenster und Wanne Loggia Einbauküche Böden: Fliesenboden, Parkett Fenster: Kunststofffenster Zustand: gepflegt Weitere Räume: Kelleranteil Anschlüsse: DSL-Anschluss, Kabelanschluss ",Baujahr: 1963 ,EnergieträgerGasHeizungsartZentralheizung,"Die Immobilie befindet sich in schöner Wohnlage in München-Laim. Die Lage bietet alle Annehmlichkeiten einer Großstadt, befindet sich aber trotz in grüner Umgebung. Die Wohnung befindet sich direkt am Park an der Zschokkerstraße mit viel Grün und einem Spielplatz. Unweit entfernt ist eine große Kleingartenanlage. Neben nahen...",629000.0,4,72.64,80686,(Laim),Gewerblicher,1963,,Ground,
203,,Einbauküche Zustand: gepflegt ,Baujahr: 2002 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,"Moosach ist einer der ältesten Orte Münchens. Der Stadtteil im Münchner Nordwesten liegt zwischen Olympiapark, Schlosspark Nymphenburg und dem Natur- und Landschaftsschutzgebiet Allacher Lohe. Das Haus wurde 2004 in einem verkehrsberuhigten Wohnviertel auf dem Grundstück einer ehemaligen Gärtnerei gebaut. Und davon...",665000.0,3,75.95,80997,(Moosach),Gewerblicher,2002,,,
204,,"Bad mit Wanne Balkon Böden: Parkett Fenster: Kunststofffenster Zustand: gepflegt Anschlüsse: DSL-Anschluss, Kabelanschluss ",Baujahr: 1963 ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Forstenried im Süden der Landeshauptstadt gelegen erfreut sich großer Beliebtheit.Die Wohnung liegt in einer kleinen Anliegerstraße, absolut ruhig, der Wohnbereich hat Blick in den Garten. Sie haben über die U3 hervorragende Anbindung in die gesamte Stadt, sind sehr schnell mit dem Auto auf der A 95 oder auch der A 96...",519000.0,3,68.0,81475,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,1963,,1,
205,,"Bad mit Wanne Garten, Terrasse Einbauküche Böden: Laminat, Parkett Zustand: gepflegt Weitere Räume: Kelleranteil, Wasch-Trockenraum Haustiere erlaubt ",Baujahr: 1967 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Obersendling - Nähe U-BahnObersendling liegt am südlichen Münchner Stadtrand, westlich der Isar. Der Stadtteil reicht von der S-Bahnlinie (Thalkirchen) im Osten bis zum Südpark im Westen (Forstenried). Die nördliche Grenze verläuft zum Stadtbezirk Sendling-Westpark. Im Süden grenzt der Stadtteil an...",549000.0,3,73.0,81379,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,1967,,1,Sofort
206,,"Garten, Terrasse Einbauküche Weitere Räume: Kelleranteil ",Baujahr: 2000 Personenaufzug ,EnergieträgerFernwärme,Obersendling - nahe Herrmann-von-Siemens-Sportpark,750000.0,2,92.0,81379,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,2000,,Ground,
207,,"Balkon, Terrasse Zustand: gepflegt Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ",Baujahr: 1989 Personenaufzug 2 Stellplätze: Tiefgarage ,EnergieträgerFernwärme,Diese attraktive Dachgeschosswohnung befindet sich im schönen Münchner Stadtteil Johanneskirchen. Dieser Ortsteil ist vorwiegend mit gepflegten Wohnanlagen und großzügigen Grün- und Parkanlagen bebaut. In der direkten Umgebung befinden sich diverse Supermärkte und ein Ärztehaus mit Apotheke. Die Wohnung befindet sich...,1390000.0,2,130.0,81927,(Bogenhausen),Gewerblicher,1989,,01 Roof,01.12.2022
208,,Gäste-WC Balkon Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1969 1 Stellplatz ,EnergieträgerÖl,"Nymphenburg und insbesondere Gern zählen zu den absoluten Spitzenwohnlagen Münchens. Die Nähe zum Nymphenburger Schloss mit seinen weitläufigen Parkanlagen, den Auffahrtsalleen und dem Schlosskanal lässt rund ums Jahr ein außergewöhnliches Lebensgefühl entstehen. Zudem vermittelt die Villenkolonie Gern mit ihrer historischen...",1660000.0,4,137.0,80638,(Neuhausen-Nymphenburg),Gewerblicher,1969,,1,Nach Vereinbarung
209,,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Laminat Zustand: renoviert / saniert Weitere Räume: Kelleranteil ",Baujahr: 1972 1 Stellplatz: Tiefgarage ,EnergieträgerGas,"Der Sendlinger Kirchplatz ist unter Sendlingern bekannt als ruhige Oase im Großstadtgetummel. Hier finden Sie immer wieder Menschen auf den Bänken entspannen, Bücher lesen und miteinander ins Gespräch kommen. Unterhalb der alten Sendlinger Kirche gelegen verbindet der Kirchplatz mittels einer Fußgängertreppe das Sendlinger...",620000.0,2,67.61,81371,(Sendling),Gewerblicher,1972,,2,Sofort
210,,Balkon Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1972 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,"HIER UND NIRGENDWO ANDERS. Oberföhring liegt im Münchner Nordosten und zählt seit jeher zu den beliebtesten Stadtteilen Münchens, nicht zuletzt wegen seiner lückenlosen Infrastruktur. Die Nähe zur Isar und zum Englischen Garten manchen diesen Stadtteil zum Magneten für Menschen die gerne stadtnah und dennoch grün und...",499900.0,2,57.0,81927,(Bogenhausen),Gewerblicher,1972,,2,31.12.2023
211,,"Gäste-WC, Bad/WC getrennt Balkon Einbauküche Böden: Parkett Weitere Räume: Kelleranteil ",Personenaufzug ,,"Zentral und elegant: Seinen einzigartigen Charme erhält Alt-Bogenhausen durch herrschaftliche, denkmalgeschützte Jugendstilhäuser, traumhaft gegrünte Grundstücke mit altem Baumbestand, sowie prächtigen Gründerzeitvillen.In bester Nachbarschaft von Kunst und Kultur, kulinarischen Genüssen und einer der größten...",4950000.0,4,,81679,(Bogenhausen),Gewerblicher,,,,
212,Georg-Reismüller-Straße,"Bad mit Wanne Balkon Einbauküche Böden: Fliesenboden, Parkett Fenster: Kunststofffenster Zustand: renoviert / saniert Weitere Räume: Kelleranteil, Abstellraum Anschlüsse: DSL-Anschluss ",Baujahr: 1992 1 Stellplatz: Carport ,EnergieträgerGasHeizungsartZentralheizung,"Die Wohnung befindet sich in München Allach. Direkt neben dem Gemeinschaftsgarten ist die Bus-Station (Franz-Nißl-Straße) der Linien 160 und 164 welche zum S-Bahnhof Allach in wenigen Minuten fahren.In der gleichen Straße befinden sich mehrere Geschäfte (Aldi, Lidl, Rewe, Sport-Bittl...).Schulen und...",695000.0,3.5,95.0,80999,(Allach-Untermenzing),Gewerblicher,1992,,1,
213,,Gäste-WC Balkon Einbauküche ,Baujahr: 1972 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Die Wohnung im 6. Obergeschoss, Baujahr 1972, ist als durchaus ruhig zu bezeichnen, da sie versetzt durch einen Grünstreifen und Vorplatz von der anliegenden Seitenstraße liegt. Das direkt gegenüberliegende OEZ bietet eine Vielzahl an Einkaufsmöglichkeiten und durch die unmittelbar in der der Nähe liegende U-Bahnstation mit...",690000.0,4,96.4,80993,(Moosach),Gewerblicher,1972,,6,Sofort
214,,"Bad mit Wanne, Gäste-WC Loggia Böden: Fliesenboden, Parkett Fenster: Kunststofffenster Zustand: teilsaniert Weitere Räume: Kelleranteil, Abstellraum, Wasch-Trockenraum Anschlüsse: DSL-Anschluss, Satellitenanschluss Haustiere erlaubt ",Baujahr: 1971 Sicherheitstechnik: Überwachungskamera Serviceleistungen: Reinigungsservice ,EnergieträgerFernwärme,,850000.0,4,99.24,81475,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,1971,,3,01.07.2023
215,,Bad mit Dusche Einbauküche Böden: Parkett Ausstattung: möbliert Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1954 Personenaufzug ,EnergieträgerGas,"Exklusive Lage nahe der IsarAu-Haidhausen ist ein sehr beliebtes Stadtviertel nahe der Innenstadt. Das Apartment befindet sich in bester Lage an den Frühlingsanlagen, zwischen der Reichenbach- und der Wittelsbacherbrücke an der Isar.Das Freizeitangebot ist so vielfältig wie sein Stadtviertel. Verschiedenste...",600000.0,2,48.0,81541,(Au-Haidhausen),Gewerblicher,1954,,6 Roof,Sofort
216,Maria-Theresia-Str. xxx,1 Stellplatz ,,,2-Zimmer-Wohnung mit 61 qm Wfl. im 1. Obergeschoss mit Balkon; Baujahr 1981/82 - dazu Kellerabteil und Tiefgaragen-Stellplatz im Vierfachparker - Lift ist vorhanden,948000.0,2,61.0,81675,(Au-Haidhausen),Gewerblicher,,,,
217,,Zustand: Erstbezug ,Baujahr: 2016 ,EnergieträgerGas,"Der südliche Münchner Stadtteil Solln auf der linken Isarseite zählt zu den besten Wohnlagen der Stadt. Rund um den Ortskern bietet Solln eine hervorragende Infrastruktur mit vielen gut sortierten Geschäften aller Art, Kindergärten, Schulen und Ärzten. Es gibt eine große Auswahl an Restaurants und Biergärten, außerdem Kino...",1089000.0,3,75.0,81477,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,2016,,Ground,
218,,Einbauküche Zustand: gepflegt ,Baujahr: 1965 ,EnergieträgerÖlHeizungsartZentralheizung,Der Stadtbezirk Sendling-Westpark liegt im Südwesten von München. Sendling-Westpark ist vor allem für eines bekannt: Der Westpark gehört zu den schönsten Grünanlagen in München. Der Westpark hat viel zu bieten und gehört nicht umsonst zu den beliebtesten Erholungsgebieten in München. Seit August 2017 können sich die Bewohner...,510000.0,2.5,64.9,81373,(Sendling-Westpark),Gewerblicher,1965,,3 Roof,Nach Vereinbarung
219,,"Bad mit Fenster und Wanne, Gäste-WC Balkon Einbauküche WG-geeignet Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Kelleranteil, Abstellraum Anschlüsse: Kabelanschluss Haustiere erlaubt ",Baujahr: 1910 Personenaufzug ,HeizungsartEtagenheizung,Der Stadtteil München - Sendling befindet sich in bester Münchner Lage und zählt mittlerweile zu den begehrtesten Wohnvierteln der Landeshauptstadt. Durch die Nähe zum Zentrum und der hervorragenden Infrastruktur erfreut sich das ehemalige Industrie- und Arbeiterviertel gleichermaßen großer Beliebtheit bei Jung und Alt. Das...,999000.0,3.5,102.49,81373,(Sendling-Westpark),Gewerblicher,1910,,2,01.10.2023
220,,Bad mit Wanne Balkon Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1970 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,Das für seinen hohen Altbaubestand bekannte Schwabing-West gehört zu den bevorzugten Wohnvierteln Münchens. Hochwertig renovierte Gebäude und schöne Mansardendächer prägen das Erscheinungsbild des Stadtteils. Einige der beeindruckendsten Jugendstilfassaden lassen sich zum Beispiel entlang der Agnesstraße bewundern...,790000.0,2,62.66,80798,(Schwabing-West),Gewerblicher,1970,,2,Nach Vereinbarung
221,,"Gäste-WC Balkon Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Abstellraum, Wasch-Trockenraum ",Baujahr: 2000 1 Stellplatz: Tiefgarage ,EnergieträgerÖlHeizungsartZentralheizung,"Trudering - die gelungene Symbiose von Stadt und Land. Eine hervorragende Infrastruktur und verschiedene Parkanlagen in der näheren Umgebung, darunter die größte zusammenhängende Waldfläche im Münchner Stadtgebiet, machen diesen Stadtteil zu einer besonders lebens- und liebenswerten Wohngegend. Die gute...",629000.0,3,74.3,81735,(Trudering-Riem),Gewerblicher,2000,,1,
222,,Gäste-WC Terrasse Böden: Fliesenboden Zustand: Erstbezug Weitere Räume: Kelleranteil ,Baujahr: 2023 Zustand: Neubau 1 Stellplatz: Duplex ,EnergieträgerSolarHeizungsartFußbodenheizung,"MÜNCHEN-FELDMOCHING:- Nordwestlichen Teil von München- Badeseen in der Nähe- Große Vielfalt an Vereinssportarten- Diverse Schwimmbäder in der Umgebung- Kindergärten, Kinderkrippe und Grundschule im Umkreis von 600 Metern- Drei Gymnasien im Umkreis- Diverse Sportvereine in der Umgebung- A99...",1028000.0,3,104.0,80995,(Feldmoching-Hasenbergl),Gewerblicher,2023,,1,
223,Industriestraße 30,Balkon ,Baujahr: 2022 Zustand: Neubau Personenaufzug 1 Stellplatz ,,"Nur  unweit  Ihres  neuen  Zuhauses  befindet  sich  der  denkmalgeschützte  Ortskern Alt-Aubings. Genießen Sie den ländlichen Charakter, traditionellen Charme und die naturnahe Lage sowie die optimale Verkehrsanbindung. Alt-Aubing - ein Standort mit vielen Vorzügen! Trotz  ruhiger  Lage:  Alles,  was  Sie  im  Alltag...",809900.0,3,74.71,81245,(Aubing-Lochhausen-Langwied),Gewerblicher,2022,,3,
224,,Einbauküche Zustand: gepflegt ,Baujahr: 2013 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartFußbodenheizung,"Beliebte Wohnlage nahe des Schwabinger Bachs und des idyllischen Englischen Gartens, sehr gute Infrastruktur und öffentliche Verkehrsanbindung durch den Bus mit der Linie 150 sowie durch die U-Bahn mit der Linie U6, zahlreiche Geschäfte des täglichen Bedarfs in nächster Umgebung, vielseitige Restaurants, bekannte Szenebars...",599000.0,2,55.6,80805,(Schwabing-Freimann),Gewerblicher,2013,,1,
225,,"Böden: Fliesenboden, Laminat Zustand: gepflegt ",Baujahr: 1970 1 Stellplatz: Duplex ,EnergieträgerÖlHeizungsartZentralheizung,Der wunderschöne Ortsteil Obermenzing gehört wegen der vielen Grünflächen und Freizeitmöglichkeiten zu den gefragtesten Gegenden in München und bietet ein idyllisches Umfeld für seine Bewohner. Der Stadtteil grenzt an den Nymphenburger Park und wird von den Bächen Würm sowie dem Schlosskanal durchzogen. Entlang der Würm...,210000.0,1,37.0,81247,/,Gewerblicher,1970,,1,Sofort
226,,"Bad mit Dusche Balkon, Terrasse Einbauküche barrierefrei Böden: Fliesenboden, Parkett Ausstattung: neuwertig Weitere Räume: Kelleranteil ","Baujahr: 2020 Personenaufzug 1 Stellplatz: Garage, Tiefgarage ",EnergieträgerFernwärmeHeizungsartZentralheizung,"In dem neu entstandenem Stadtquartier an der Hermine-von-Parish Str. genießen Sie viele Vorteile in unmittelbarer Nähe. Die Naturidylle im Nymphenburger Schlosspark, die Lebendigkeit rundum den Pasinger Bahnhof, die Pasing Arcaden und die vielfältige Kultur in der Pasinger Fabrik. Der Kontrast könnte größer nicht sein - und...",1084000.0,3,90.44,81245,(Pasing-Obermenzing),Gewerblicher,2020,,2,Nach Vereinbarung
227,,"Gäste-WC WG-geeignet Zustand: gepflegt Weitere Räume: Kelleranteil, Abstellraum, Wasch-Trockenraum Anschlüsse: Kabelanschluss ",Baujahr: 1984 1 Stellplatz: Duplex ,EnergieträgerÖlHeizungsartZentralheizung,Ramersdorf-Perlach befindet sich zwischen Obergiesing und Perlach im Süd-Osten der Landeshauptstadt München. Nördlich davon schließen sich die Stadtbezirke Au-Haidhausen und Berg am Laim an. Perlach verbindet sowohl die Nähe zur Natur als auch die optimale Anbindung an das Stadtzentrum. Sämtliche Geschäfte des täglichen...,695000.0,6,73.0,81737,(Ramersdorf-Perlach),Gewerblicher,1984,,2,
228,,"Balkon, Garten Weitere Räume: Kelleranteil ",,,Trudering-Riem,,3,67.0,81827,(Trudering-Riem),Gewerblicher,,,,
229,,Gäste-WC Balkon Zustand: Erstbezug Weitere Räume: Kelleranteil ,Baujahr: 2024 Personenaufzug 1 Stellplatz ,EnergieträgerGas,"Zentral, pulsierend, historisch geprägt: Das Glockenbachviertel in der Isarvorstadt zählt zu den angesagtesten City-Wohnlagen Münchens. Die unvergleichliche Mischung aus Geschäften des täglichen Bedarfs, Concept Stores, Galerien, Bars und Szene-Lokalen begeistert ein niveauvolles Publikum, Kulturinteressierte und...",1670000.0,2,65.45,80469,(Ludwigsvorstadt-Isarvorstadt),Gewerblicher,2024,,3,2024
230,,Weitere Räume: Kelleranteil ,,,"Eigentumswohnung, Aufteilungsplan: 6, Miteigentumsanteil: 6.9%, 1. Etage, Wohnfläche: 55m², Zimmer: 2, Küche, Bad, Balkon, Keller, Wiederaufbau ca. 1954/55",650000.0,2,55.0,81667,(Au-Haidhausen),Gewerblicher,,,1,
231,,"Garten, Terrasse, Wintergarten Einbauküche Zustand: gepflegt Weitere Räume: Kelleranteil, Abstellraum, Wasch-Trockenraum ",Baujahr: 1991 1 Stellplatz ,EnergieträgerGasHeizungsartoffener Kamin,"Die Wohnung in der kleinen Wohnanlage befindet sich in einer schönen geschützten Innenhofanlage. In nur zwei Gehminuten erreicht man den Moosacher Bahnhof, mit der U-Bahnlinie U3 und der S-Bahn S1  sind Sie schnell in der Innenstadt. Die Tram-Linie 20 und verschiedene Busverbindungen starten ebenfalls vom Moosacher Bahnhof...",580000.0,2,61.94,80997,/,Gewerblicher,1991,,,
232,,"Gäste-WC Garten, Terrasse Einbauküche Böden: Fliesenboden, Parkett Weitere Räume: Kelleranteil ",Baujahr: 1993 1 Stellplatz: Duplex ,EnergieträgerGasHeizungsartFußbodenheizung,"Allach-UntermenzingDie überschaubare und individuelle Wohnanlage im Münchner Stadtteil Allach - Untermenzing liegt ebenso günstig wie praktisch. Das nähere Umfeld ist geprägt durch eine gewachsene Umgebung gepflegter Häuser mit liebevoll gestalteten Gärten. Die Straße, in der das Objekt liegt ist eine sehr ruhige...",840000.0,4,106.0,80999,(Allach-Untermenzing),Gewerblicher,1993,,,
233,,Baujahr: 1988 1 Stellplatz: Tiefgarage ,,EnergieträgerGas,"Die Immobilie befindet sich in Zamdorf, einem sehr beliebten Stadtteil in der bayerischen Landeshauptstadt München. Etwa 5 km östlich des Zentrums und hervorragend über die nahe gelegene A94 angebunden trägt die beliebte Lage unweit des Zamilaparks und der bekannten Trabrennbahn in Daglfing zur Attraktivität der Immobilie bei...",617000.0,3,81.0,81929,(Bogenhausen),Gewerblicher,,,,
234,,Einbauküche barrierefrei Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1984 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärme,"Die Maxvorstadt ist eines der pulsierendsten Viertel Münchens. Das liegt daran, dass es das Münchner Museumsviertel schlechthin ist und zudem mit gleich drei Hochschulen der Mittelpunkt der Wissenschaft.Die vielen Touristen, Akademiker und Studenten machen die Maxvorstadt zu einem kulturell vielfältigen, toleranten...",890000.0,2,73.66,80333,(Maxvorstadt),Gewerblicher,1984,,2,Sofort
235,,Einbauküche Böden: Parkett Zustand: gepflegt Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1981 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"MünchenDie bayerische Landeshauptstadt München ist mit über 1,4 Millionen Einwohnern die drittgrößte Stadt Deutschlands sowie eine der wichtigsten Metropolen Europas. Bis 2030 wird mit einem Bevölkerungszuwachs von ca. 14,1 % gerechnet.Sowohl die Vielzahl aller Freizeitmöglichkeiten, die München und sein Umland...",495000.0,3,84.5,81927,(Bogenhausen),Gewerblicher,1981,,3,
